Gender,Age,TeachingExp,EmotionalLabor,SurfaceActing,DeepActing,EmotionalExpression,CareerCommitment,SocialSupport,SubjectiveSupport,ObjectiveSupport,SupportUtilization,Wellbeing,HealthWorries,EnergyLevel,LifeSatisfaction,Depressed,EmotionalBehaviorControl,Relaxed
2,50,24,44,12,19,13,28,35,21,6,8,69,5,16,5,15,14,14
2,29,4,41,14,17,10,26,37,21,7,9,62,5,10,6,13,14,14
2,24,0,34,3,16,15,28,35,21,6,8,58,7,14,3,14,9,11
2,33,5,35,10,15,10,21,40,26,7,7,64,6,14,6,14,11,13
2,36,8,32,10,11,11,25,40,24,9,7,86,12,17,10,18,13,16
2,32,4,37,7,17,13,24,35,22,7,6,62,9,9,5,12,13,14
2,29,6,42,11,17,14,31,51,27,16,8,96,5,26,10,19,14,22
2,32,7,40,9,17,14,21,41,24,9,8,73,8,20,7,16,11,11
2,33,8,46,12,19,15,33,42,27,5,10,94,2,26,10,17,14,25
2,28,2,34,7,16,11,24,40,24,8,8,83,11,19,7,18,9,19
1,28,4,34,8,17,9,20,20,12,3,5,55,5,11,5,9,16,9
2,24,1,35,10,14,11,21,36,21,8,7,77,6,20,4,19,10,18
2,43,4,37,11,14,12,22,45,24,11,10,71,10,15,6,14,11,15
2,35,14,42,8,19,15,22,32,17,9,6,82,15,12,5,14,14,22
2,36,12,44,9,20,15,24,41,22,10,9,66,6,16,8,13,13,10
2,33,8,39,8,20,11,25,39,23,8,8,84,9,14,9,16,15,21
2,30,7,33,9,14,10,27,32,15,9,8,78,10,20,4,15,12,17
2,30,7,37,11,15,11,31,41,25,8,8,86,6,18,10,18,16,18
2,23,3,41,6,20,15,13,34,17,10,7,62,9,11,3,14,9,16
2,26,3,21,5,11,5,17,35,26,3,6,64,9,16,5,12,9,13
2,51,5,41,15,16,10,35,51,31,9,11,105,7,28,10,22,12,26
2,27,3,39,11,16,12,34,41,22,12,7,88,12,21,8,17,12,18
2,33,12,45,11,20,14,29,45,24,11,10,81,7,22,5,22,11,14
2,31,10,27,7,12,8,16,23,15,2,6,63,10,9,7,13,12,12
2,34,4,33,10,13,10,22,33,21,5,7,80,12,17,6,15,12,18
2,33,13,40,11,15,14,17,40,22,9,9,70,7,16,10,14,13,10
2,25,2,34,6,15,13,18,32,14,10,8,72,7,17,4,15,12,17
2,25,3,31,9,12,10,22,42,27,8,7,72,12,16,7,15,9,13
2,39,11,42,7,20,15,23,52,27,13,12,85,5,17,7,21,13,22
2,22,0,33,8,15,10,18,36,22,8,6,64,6,17,4,14,11,12
2,32,10,39,10,14,15,32,37,22,7,8,76,7,21,5,14,12,17
2,30,4,40,13,19,8,27,43,26,8,9,76,10,16,6,17,12,15
2,31,3,38,7,17,14,23,33,17,9,7,67,5,16,6,14,9,17
2,31,5,25,8,10,7,11,31,18,6,7,49,5,12,5,7,12,8
1,39,3,41,11,17,13,27,26,14,5,7,82,7,21,7,18,14,15
2,35,3,38,5,18,15,33,31,19,4,8,102,9,25,9,21,14,24
2,37,,46,13,19,14,32,53,30,15,8,84,6,21,7,19,10,21
2,43,20,36,9,16,11,27,42,30,6,6,77,14,18,6,18,10,11
2,30,4,38,10,14,14,23,36,22,8,6,58,5,17,6,9,10,11
2,52,,43,11,18,14,28,47,28,10,9,84,7,21,7,19,15,15
2,32,1,35,6,17,12,23,27,13,7,7,61,9,11,5,12,11,13
2,40,10,40,10,16,14,15,45,30,5,10,38,3,6,5,6,13,5
2,,19,48,13,20,15,33,50,23,17,10,79,7,23,9,18,9,13
1,30,1,30,8,12,10,20,31,18,5,8,86,5,23,9,16,10,23
2,24,1,30,9,12,9,11,25,9,10,6,48,5,6,4,16,9,8
1,25,2,33,10,13,10,21,38,21,9,8,66,8,21,7,8,9,13
2,27,5,50,15,20,15,35,43,23,10,10,86,11,16,9,14,14,22
2,29,7,22,7,9,6,15,35,20,8,7,57,5,11,4,14,10,13
2,25,3,43,8,20,15,26,44,22,11,11,84,6,24,9,15,12,18
1,25,2,34,11,13,10,20,24,16,5,3,62,10,15,5,11,10,11
2,45,17,38,12,15,11,27,26,11,8,7,51,2,13,11,5,14,6
2,42,17,39,9,17,13,28,44,28,6,10,86,5,23,10,19,10,19
2,25,3,38,12,14,12,22,31,16,8,7,69,10,14,5,13,11,16
2,28,2,38,6,20,12,35,48,27,11,10,88,5,24,8,18,14,19
2,26,3,40,11,17,12,28,46,29,8,9,82,7,18,7,16,13,21
2,32,7,36,9,16,11,33,28,17,6,5,59,5,17,5,14,9,9
2,35,11,38,8,17,13,27,38,23,6,9,68,9,16,4,14,10,15
2,23,1,49,14,20,15,34,52,23,17,12,85,7,20,6,22,9,21
2,32,2,44,9,20,15,35,54,30,12,12,77,8,18,8,16,10,17
2,22,1,32,7,14,11,15,42,25,9,8,66,11,14,5,14,9,13
2,38,7,47,14,18,15,34,53,29,15,9,69,7,18,5,14,11,14
2,33,7,47,13,19,15,27,47,26,12,9,110,9,27,10,22,17,25
